agent_name,price,address_locality,agent_phone,address,agent_address,street_address
Alexander & Co.,315000,Dunstable,+44 1582 944195,"Linden Road, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Linden Road
Alexander & Co.,315000,Dunstable,+44 1582 944195,"Wivelsfield, Eaton Bray, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Wivelsfield
Alexander & Co.,300000,Dunstable,+44 1582 944195,"Benning Avenue, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Benning Avenue
Alexander & Co.,300000,Dunstable,+44 1582 944195,"Spinney Crescent, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Spinney Crescent
Alexander & Co.,300000,Dunstable,+44 1582 944195,"Vauxhall Way, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Vauxhall Way
Alexander & Co.,280000,Dunstable,+44 1582 944195,"Coopers Way, Houghton Regis, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Coopers Way
Alexander & Co.,270000,Luton,+44 1582 944195,"Belsize Road, Luton LU4","48 High Street South, Dunstable, LU6 3HD |",Belsize Road
Alexander & Co.,270000,Luton,+44 1582 944195,"Partridge Close, Luton LU4","48 High Street South, Dunstable, LU6 3HD |",Partridge Close
Alexander & Co.,270000,Dunstable,+44 1582 944195,"Barrie Avenue, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Barrie Avenue
Alexander & Co.,250000,Dunstable,+44 1582 944195,"Albion Mews, Albion Street, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Albion Street
Alexander & Co.,250000,Dunstable,+44 1582 944195,"Richard Street, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Richard Street
Alexander & Co.,250000,Dunstable,+44 1582 944195,"Douglas Crescent, Houghton Regis, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Douglas Crescent
Alexander & Co.,240000,Dunstable,+44 1582 944195,"Regent Street, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Regent Street
Alexander & Co.,230000,Dunstable,+44 1582 944195,"Trident Drive, Houghton Regis, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Trident Drive
Alexander & Co.,220000,Dunstable,+44 1582 944195,"Spoondell, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",Spoondell
Alexander & Co.,210000,Dunstable,+44 1582 944195,"Bowen House, High Street South, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",112-114 High Street South
Alexander & Co.,202500,Dunstable,+44 1582 944195,"Bowen House, High Street South, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",112-114 High Street South
Alexander & Co.,185000,Dunstable,+44 1582 944195,"Church Street, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Church Street
Alexander & Co.,180000,Dunstable,+44 1582 944195,"Luton Road, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Luton Road
Alexander & Co.,180000,Dunstable,+44 1582 944195,"The Parklands, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",The Parklands
Alexander & Co.,142500,Dunstable,+44 1582 944195,"Limewalk, Dunstable LU5","48 High Street South, Dunstable, LU6 3HD |",Limewalk
Alexander & Co.,90000,Dunstable,+44 1582 944195,"High Street South, Dunstable LU6","48 High Street South, Dunstable, LU6 3HD |",High Street South
Charles Lear,2395000,Cheltenham,+44 1242 354033,"Oakley Road, Battledown, Cheltenham GL52","103 Promenade, Cheltenham, GL50 1NW |",Oakley Road
Charles Lear,1780000,Cheltenham,+44 1242 354033,"Stanley Road, Battledown, Cheltenham GL52","103 Promenade, Cheltenham, GL50 1NW |",Stanley Road
Charles Lear,1500000,Cheltenham,+44 1242 354033,"Stockwell Lane, Cleeve Hill, Cheltenham GL52","103 Promenade, Cheltenham, GL50 1NW |",Stockwell Lane
Charles Lear,1150000,Cheltenham,+44 1242 354033,"Lypiatt Drive, Tivoli, Cheltenham GL50","103 Promenade, Cheltenham, GL50 1NW |",Lypiatt Drive
Charles Lear,1000000,Cheltenham,+44 1242 354033,"Montpellier Parade, Cheltenham GL50","103 Promenade, Cheltenham, GL50 1NW |",5 Montpellier Parade
Charles Lear,995000,Cheltenham,+44 1242 354033,"Shurdington Road, Shurdington, Cheltenham GL51","103 Promenade, Cheltenham, GL50 1NW |",Shurdington Road
Chancellors,925000,Oxford,+44 1865 366257,"Hernes Road, Summertown, North Oxford, Oxon, 7Pu OX2","255 Banbury Road, Oxford, OX2 7HN |","Hernes Road, Summertown, North Oxford"
Charles Lear,955000,Cheltenham,+44 1242 354033,"Coberley Road, Coberley, Cheltenham GL53","103 Promenade, Cheltenham, GL50 1NW |",Coberley Road
Charles Lear,925000,Cheltenham,+44 1242 354033,"Sandy Lane, Charlton Kings, Cheltenham GL53","103 Promenade, Cheltenham, GL50 1NW |",Sandy Lane
Charles Lear,895000,Cheltenham,+44 1242 354033,"London Road, Charlton Kings, Cheltenham GL52","103 Promenade, Cheltenham, GL50 1NW |",London Road
Charles Lear,845000,Cheltenham,+44 1242 354033,"Compton Abdale, Cheltenham GL54","103 Promenade, Cheltenham, GL50 1NW |",
Charles Lear,695000,Cheltenham,+44 1242 354033,"Church Lane, Toddington, Cheltenham GL54","103 Promenade, Cheltenham, GL50 1NW |",Church Lane
Charles Lear,565000,Stroud,+44 1242 354033,"Cheltenham Road, Painswick, Gloucestershire GL6","103 Promenade, Cheltenham, GL50 1NW |",Cheltenham Road
Charles Lear,550000,Stroud,+44 1242 354033,"Pullens Road, Painswick, Gloucestershire GL6","103 Promenade, Cheltenham, GL50 1NW |",Pullens Road
Charles Lear,549950,Cheltenham,+44 1242 354033,"Hatherley Road, Cheltenham GL51","103 Promenade, Cheltenham, GL50 1NW |",Hatherley Road
Chancellors,900000,North Oxford,+44 1865 366257,"Hayward Road, Cutteslowe OX2, North Oxford, Ox2,","255 Banbury Road, Oxford, OX2 7HN |","Hayward Road, Cutteslowe, OX2"
Chancellors,900000,Oxford,+44 1865 366257,"Woodstock Road, Summertown, North Oxford, North Oxford, Oxon OX2,","255 Banbury Road, Oxford, OX2 7HN |","Woodstock Road, Summertown, North Oxford,"
Chancellors,850000,Oxford,+44 1865 366257,"The Stream Edge, Fisher Row, Oxford Waterways, Oxford OX1,","255 Banbury Road, Oxford, OX2 7HN |","The Stream Edge, Fisher Row, Oxford Waterways"
Chancellors,850000,Oxford,+44 1865 366257,"City Centre, Oxford, Oxon OX1,","255 Banbury Road, Oxford, OX2 7HN |","City Centre, Oxford"
Chancellors,800000,North Oxford,+44 1865 366257,"School Court, Jericho, North Oxford OX2, Oxon Ox2,","255 Banbury Road, Oxford, OX2 7HN |","School Court, Jericho, North Oxford, OX2"
Chancellors,750000,Oxford,+44 1865 366257,"Cavendish Road, North Oxford OX2, Oxfordshire, Ox2,","255 Banbury Road, Oxford, OX2 7HN |","Cavendish Road, North Oxford, OX2"
Chancellors,745000,Oxford,+44 1865 366257,"Hobson Road, Summertown, North Oxford, Oxon OX2,","255 Banbury Road, Oxford, OX2 7HN |","Hobson Road, Summertown, North Oxford"
Charles Lear,500000,Cheltenham,+44 1242 354033,"Cooks Lane, Uckington, Cheltenham GL51","103 Promenade, Cheltenham, GL50 1NW |",Cooks Lane
Charles Lear,425000,Cheltenham,+44 1242 354033,"St. Lukes Road, Cheltenham GL53","103 Promenade, Cheltenham, GL50 1NW |",St. Lukes Road
Charles Lear,299950,Cheltenham,+44 1242 354033,"St. Lukes Place, Cheltenham GL53","103 Promenade, Cheltenham, GL50 1NW |",St. Lukes Place
Charles Lear,275000,Cheltenham,+44 1242 354033,"Malvern Road, Cheltenham GL50","103 Promenade, Cheltenham, GL50 1NW |",Malvern Road
Charles Lear,250000,Cheltenham,+44 1242 354033,"Lansdown Terrace Lane, Cheltenham GL50","103 Promenade, Cheltenham, GL50 1NW |",Lansdown Terrace Lane
Charles Lear,189950,Cheltenham,+44 1242 354033,"Overton Park Road, Cheltenham GL50","103 Promenade, Cheltenham, GL50 1NW |",Overton Park Road
Chancellors,475000,Oxford,+44 1865 366257,"Staverton Road, Summertown, North Oxford, Oxford OX2,","255 Banbury Road, Oxford, OX2 7HN |","Staverton Road, Summertown, North Oxford"
Chancellors,475000,Oxford,+44 1865 366257,"Wolsey Road, Cutteslowe OX2, North Oxford, Ox2,","255 Banbury Road, Oxford, OX2 7HN |","Wolsey Road, Cutteslowe, OX2"
Chancellors,425000,Oxford,+44 1865 366257,"Rewley Road, Oxford City Centre OX1, Oxfordshire Ox1,","255 Banbury Road, Oxford, OX2 7HN |","Rewley Road, Oxford City Centre, OX1"
Chancellors,425000,Oxford,+44 1865 366257,"Empress Court, Woodin's Way, Oxford Castle OX1, City Of Oxford OX1,","255 Banbury Road, Oxford, OX2 7HN |","Empress Court, Woodin's Way, Oxford Castle OX1"
Chancellors,400000,Oxford,+44 1865 366257,"Woodstock Close, Summertown OX2","255 Banbury Road, Oxford, OX2 7HN |",Woodstock Close
Chancellors,375000,Oxford,+44 1865 366257,"Hernes Road, Summertown, North Oxford, Oxon OX2,","255 Banbury Road, Oxford, OX2 7HN |","Hernes Road, Summertown, North Oxford"
Chancellors,350000,Oxford,+44 1865 366257,"Banbury Road, Summertown, North Oxford, Oxon OX2,","255 Banbury Road, Oxford, OX2 7HN |","Banbury Road, Summertown, North Oxford"
Chancellors,350000,Oxford,+44 1865 366257,"Hawksmoor Road, Summertown OX2","255 Banbury Road, Oxford, OX2 7HN |",Hawksmoor Road
Chancellors,300000,Oxford,+44 1865 366257,"Newcombe Court, Summertown, North Oxford, Oxon OX2,","255 Banbury Road, Oxford, OX2 7HN |","Newcombe Court, Summertown, North Oxford"
Chancellors,300000,Oxford,+44 1865 366257,"Banbury Road, Summertown, North Oxford, Oxon OX2,","255 Banbury Road, Oxford, OX2 7HN |","Banbury Road, Summertown, North Oxford"
Chancellors,260000,Oxford,+44 1865 366257,"West Grove, Hernes Road, Summertown OX2, North Oxford, Ox2,","255 Banbury Road, Oxford, OX2 7HN |","West Grove, Hernes Road, Summertown, OX2"
Chancellors,225000,Oxford,+44 1865 366257,"Diamond Court, Banbury Road, Summertown OX2, North Oxford, Oxon Ox2,","255 Banbury Road, Oxford, OX2 7HN |","Diamond Court, Banbury Road, Summertown OX2"
Chancellors,225000,Oxford,+44 1865 366257,"Diamond Court, Banbury Road, Summertown OX2, North Oxford, Oxon Ox2,","255 Banbury Road, Oxford, OX2 7HN |","Diamond Court, Banbury Road, Summertown OX2"
Chancellors,60000,Oxford,+44 1865 366257,"Charles Ponsonby House, Summertown, North Oxford, Oxon OX2,","255 Banbury Road, Oxford, OX2 7HN |","Charles Ponsonby House, Summertown, North Oxford"
Chancellors - Sunningdale,2900000,Sunningdale,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,1700000,Woking,+44 1344 527634,"Gorse Lane, Chobham GU24","London Road, Sunningdale, Ascot, SL5 0DP |",Gorse Lane
Chancellors - Sunningdale,1595000,Chobham,+44 1344 527634,"Chobham, Surrey GU24","London Road, Sunningdale, Ascot, SL5 0DP |",Chobham
Chancellors - Sunningdale,1500000,Windlesham,+44 1344 527634,"Westwood Road, Windlesham GU20","London Road, Sunningdale, Ascot, SL5 0DP |",Westwood Road
Chancellors - Sunningdale,1475000,Windlesham,+44 1344 527634,"Windlesham, Surrey GU20","London Road, Sunningdale, Ascot, SL5 0DP |",Windlesham
Chancellors - Sunningdale,1395000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,1200000,Ascot,+44 1344 527634,"Sunninghill, Ascot SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunninghill
Chancellors - Sunningdale,1150000,Ascot,+44 1344 527634,"Priory Road, Sunningdale SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Priory Road
Chancellors - Sunningdale,775000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,775000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,750000,Ascot,+44 1344 527634,"Dale Lodge Road, Sunningdale SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Dale Lodge Road
Chancellors - Sunningdale,700000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,700000,Sunningdale,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,699950,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,675000,Windlesham,+44 1344 527634,"Bosman Drive, Windlesham GU20","London Road, Sunningdale, Ascot, SL5 0DP |",Bosman Drive
Chancellors - Sunningdale,675000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,650000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,615000,Windlesham,+44 1344 527634,"Chertsey Road, Windlesham GU20","London Road, Sunningdale, Ascot, SL5 0DP |",Chertsey Road
Chancellors - Sunningdale,599950,Windlesham,+44 1344 527634,"Windlesham, Surrey GU20","London Road, Sunningdale, Ascot, SL5 0DP |",Windlesham
Chancellors - Sunningdale,599950,Sunninghill,+44 1344 527634,"Sunninghill, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunninghill
Chancellors - Sunningdale,575000,Sunningdale,+44 1344 527634,"Lady Margaret Road, Sunningdale SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Lady Margaret Road
Chancellors - Sunningdale,550000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,550000,Ascot,+44 1344 527634,"London Road, Sunningdale SL5","London Road, Sunningdale, Ascot, SL5 0DP |",London Road
Chancellors - Sunningdale,550000,Sunningdale,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,550000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors,585000,Didcot,+44 1235 244857,"Chilton Field Way, Chilton OX11","212 Broadway, Didcot, OX11 8RS |",Chilton Field Way
Chancellors - Sunningdale,500000,Sunningdale,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,475000,Sunningdale,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,475000,Sunningdale,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,450000,Windlesham,+44 1344 527634,"Bosman Drive, Windlesham GU20","London Road, Sunningdale, Ascot, SL5 0DP |",Bosman Drive
Chancellors - Sunningdale,450000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,439950,Windlesham,+44 1344 527634,"Windlesham, Surrey GU20","London Road, Sunningdale, Ascot, SL5 0DP |",Windlesham
Chancellors - Sunningdale,425000,Windlesham,+44 1344 527634,"Bosman Drive, Windlesham GU20","London Road, Sunningdale, Ascot, SL5 0DP |",Bosman Drive
Chancellors - Sunningdale,425000,Windlesham,+44 1344 527634,"Snows Rise, Windlesham GU20","London Road, Sunningdale, Ascot, SL5 0DP |",Snows Rise
Chancellors - Sunningdale,400000,Sunningdale,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors,1395000,Oxford,+44 1865 680567,"Cumnor Hill, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Cumnor Hill
Chancellors,575000,Didcot,+44 1235 244857,"Chilton Field Way, Chilton OX11","212 Broadway, Didcot, OX11 8RS |",Chilton Field Way
Chancellors,500000,Wantage,+44 1235 244857,"Brookside Cottage, Wantage OX12","212 Broadway, Didcot, OX11 8RS |",Brookside Cottage
Chancellors,495000,Didcot,+44 1235 244857,"Main Street, West Hagbourne OX11","212 Broadway, Didcot, OX11 8RS |",Main Street
Chancellors,475000,Didcot,+44 1235 244857,"Chilton Field Way, Chilton OX11","212 Broadway, Didcot, OX11 8RS |",Chilton Field Way
Chancellors,475000,Didcot,+44 1235 244857,"Ash Way, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Ash Way
Chancellors,470000,Didcot,+44 1235 244857,"Croom Cottages, Rowstock OX11","212 Broadway, Didcot, OX11 8RS |",Croom Cottages
Chancellors - Sunningdale,380000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,375000,Sunninghill,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,350000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,295000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,280000,Sunningdale,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors - Sunningdale,250000,Ascot,+44 1344 527634,"Sunningdale, Berkshire SL5","London Road, Sunningdale, Ascot, SL5 0DP |",Sunningdale
Chancellors,1395000,Oxford,+44 1865 680567,"Cumnor Hill, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Cumnor Hill
Chancellors,1095000,Oxford,+44 1865 680567,"Cumnor Hill, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Cumnor Hill
Chancellors,980000,Oxford,+44 1865 680567,"Cumnor Hill, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Cumnor Hill
Chancellors,900000,Oxford,+44 1865 680567,"The Avenue, Kennington OX1","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",The Avenue
Chancellors,849950,Witney,+44 1865 680567,"Eynsham, West Oxford OX29","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Eynsham
Chancellors,800000,Oxford,+44 1865 680567,"Cumnor, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Cumnor
Chancellors,600000,Oxford,+44 1865 680567,"Botley, West Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Botley
Chancellors,415000,Wantage,+44 1235 244857,"Churchward Close, Wantage OX12","212 Broadway, Didcot, OX11 8RS |",Churchward Close
Chancellors,400000,Didcot,+44 1235 244857,"Lake Road, East Hagbourne OX11","212 Broadway, Didcot, OX11 8RS |",Lake Road
Chancellors,367500,Didcot,+44 1235 244857,"The Croft, Harwell OX11","212 Broadway, Didcot, OX11 8RS |",The Croft
Chancellors,365000,Didcot,+44 1235 244857,"Larch Drive, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Larch Drive
Chancellors,350000,Didcot,+44 1235 244857,"Juniper Way, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Juniper Way
Chancellors,350000,Didcot,+44 1235 244857,"Tavy Close, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Tavy Close
Chancellors,350000,Didcot,+44 1235 244857,"Teescroft, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Teescroft
Chancellors,350000,Didcot,+44 1235 244857,"Dagdale Drive, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Dagdale Drive
Chancellors,599950,Oxford,+44 1865 680567,"Cumnor Hill, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Cumnor Hill
Chancellors,575000,Oxford,+44 1865 680567,"Botley Road, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Botley Road
Chancellors,550000,Oxford,+44 1865 680567,"Botley Road, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Botley Road
Chancellors,550000,Oxford,+44 1865 680567,"Kennington, Oxfordshire OX1","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Kennington
Chancellors,515000,Oxford,+44 1865 680567,"Boars Hill, Oxford OX1","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Boars Hill
Chancellors,500000,Oxford,+44 1865 680567,"Kennington, Oxford OX1","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Kennington
Chancellors,495000,Oxford,+44 1865 680567,"Yarnells Hill, West Oxford City OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Yarnells Hill
Chancellors,340000,Didcot,+44 1235 244857,"Brunstock Beck, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Brunstock Beck
Chancellors,325000,Didcot,+44 1235 244857,"Cherry Tree Road, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Cherry Tree Road
Chancellors,325000,Didcot,+44 1235 244857,"Merritt Road, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Merritt Road
Chancellors,325000,Didcot,+44 1235 244857,"Walnut Lane, Great Western Park, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Walnut Lane
Chancellors,325000,Didcot,+44 1235 244857,"Broadway, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Broadway
Brockenhurst Estates,525000,Harrow,+44 20 3478 3194,"Rusland Park Road, Harrow-On-The-Hill, Harrow HA1","2 Central Parade, Station Road, Harrow, HA1 2TW |",Rusland Park Road
Chancellors,475000,Oxford,+44 1865 680567,"Norreys Road, Cumnor OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Norreys Road
Chancellors,460000,Oxford,+44 1865 680567,"Yarnells Hill, West Oxford City OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Yarnells Hill
Chancellors,450000,Oxford,+44 1865 680567,"Cumnor Hill, West Oxford City OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Cumnor Hill
Chancellors,450000,Oxford,+44 1865 680567,"Botley, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Botley
Chancellors,450000,Oxford,+44 1865 680567,"Yarnells Hill, West Oxford City OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Yarnells Hill
Chancellors,450000,Oxford,+44 1865 680567,"Botley, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Botley
Chancellors,450000,Oxford,+44 1865 680567,"Cumnor Hill, Oxford OX2","12a The Square, Westway Shopping Centre, Botley, Oxford, OX2 9LJ |",Cumnor Hill
Chancellors,325000,Wantage,+44 1235 244857,"Hamfield Road, Wantage OX12","212 Broadway, Didcot, OX11 8RS |",Hamfield Road
Chancellors,325000,Didcot,+44 1235 244857,"Felix Road, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Felix Road
Chancellors,325000,Wantage,+44 1235 244857,"Warmans Close, Wantage OX12","212 Broadway, Didcot, OX11 8RS |",Warmans Close
Chancellors,315000,Didcot,+44 1235 244857,"Hardings Strings, Didcot OX11","212 Broadway, Didcot, OX11 8RS |",Hardings Strings
Chancellors,300000,Wantage,+44 1235 244857,"Main Street, Grove OX12","212 Broadway, Didcot, OX11 8RS |",Main Street
Brockenhurst Estates,525000,Harrow-on-the-Hill,+44 20 3478 3194,"Highlawn Hall, Sudbury Hill, Harrow-On-The-Hill HA1","2 Central Parade, Station Road, Harrow, HA1 2TW |",Highlawn Hall
Brockenhurst Estates,479950,Harrow,+44 20 3478 3194,"Marshall Close, Harrow HA1","2 Central Parade, Station Road, Harrow, HA1 2TW |",Marshall Close
Brockenhurst Estates,425000,Pinner,+44 20 3478 3194,"South Close, Village Way, Pinner HA5","2 Central Parade, Station Road, Harrow, HA1 2TW |",South Close
Brockenhurst Estates,399950,Harrow,+44 20 3478 3194,"Preston Hill, Kenton, Harrow HA3","2 Central Parade, Station Road, Harrow, HA1 2TW |",Preston Hill
